Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Fiji,2007,78.99158,79.93054,77.746635,816.1,3983.8103,7740.19
Fiji,2008,78.48264,79.52467,77.10967,869.19995,4052.3108,7844.0903
Fiji,2009,78.906456,79.87088,77.654655,536.30005,4003.3289,7781.62
Fiji,2010,78.21301,79.14791,77.00099,485.50003,4010.0042,7747.73
Fiji,2011,79.03021,80.04299,77.63863,581.8,4059.07,7831.64
Fiji,2012,78.84124,79.818275,77.6,483.3,4041.9985,7851.96
Fiji,2013,78.85735,79.82107,77.57206,577.0,4001.7583,7715.71
Fiji,2014,79.19706,80.18156,77.93772,583.69995,3961.1694,7669.1904
Fiji,2015,79.25834,80.23605,78.059044,741.80005,3919.6438,7575.87
Fiji,2016,79.0568,80.0032,77.823524,725.1,3971.068,7581.1304
Fiji,2017,79.821396,80.83252,78.41214,631.0,4001.0952,7715.02
Fiji,2018,79.0674,80.05803,77.80803,603.7,3977.666,7656.29
Fiji,2019,79.40466,80.527756,77.930824,811.0,3936.016,7587.43
Fiji,2020,79.35126,80.401306,77.9814,587.4,4034.0225,7710.26
Finland,1995,38.992107,43.359802,34.65002,538.1,2278.3623,3101.5898
Finland,1996,37.023834,41.4546,32.7428,679.8,2295.4734,3160.48
Finland,1997,38.514427,43.12555,33.898952,551.6,2553.7778,3364.9502
Finland,1998,36.994476,41.527744,32.747692,681.9,2186.9082,3028.2397
Finland,1999,39.124313,43.587143,34.716103,598.30005,2379.794,3230.5898
Finland,2000,40.52899,44.759274,36.47485,644.4,2386.7668,3186.46
Finland,2001,38.07744,42.393227,33.783554,632.80005,2336.9177,3091.89
Finland,2002,38.500687,43.228622,33.851364,525.3,2591.621,3440.64
Finland,2003,38.14803,42.585304,33.863937,588.1,2267.6826,3093.92
Finland,2004,38.756733,43.253864,34.485996,697.3,2351.9883,3163.8398
Finland,2005,39.59918,43.90769,35.407993,651.0,2460.5488,3231.65
Finland,2006,39.919407,44.317993,35.538185,505.60004,2461.6235,3364.3801
Finland,2007,40.17007,44.43191,36.07375,637.1,2401.2856,3169.93
Finland,2008,40.653854,44.555172,36.80854,808.7,2177.4336,2993.37
Finland,2009,38.726406,42.99684,34.567413,494.5,2384.0793,3227.1602
Finland,2010,36.64537,41.081444,32.360077,529.2,2215.5767,3143.92
Finland,2011,40.376225,44.544346,36.376785,685.0,2362.1367,3160.23
Finland,2012,37.76114,41.687965,33.828945,792.9,2159.495,2962.5098
Finland,2013,40.483055,44.71621,36.312183,621.2,2375.9321,3169.17
Finland,2014,41.440533,45.51807,37.52706,558.80005,2232.5928,3092.1
Finland,2015,41.502872,45.619415,37.580074,687.1,2319.5789,3089.06
Finland,2016,39.638977,43.824528,35.58936,636.6,2204.4026,2960.0903
Finland,2017,39.61002,44.331764,34.92861,791.1001,2079.0994,3006.29
Finland,2018,41.166393,46.63675,35.73467,564.1,2445.4536,3435.5898
Finland,2019,40.67787,45.98505,35.421024,780.8,2277.438,3266.05
Finland,2020,43.44727,48.398262,38.60449,808.30005,2470.735,3381.39
France,1995,51.736233,58.413654,45.360703,753.9,2858.5125,4483.5195
France,1996,49.962357,56.83243,43.650383,912.89996,2811.6277,4562.4697
France,1997,52.32276,59.84873,45.523685,643.2,3044.7917,4850.85
France,1998,50.851925,57.805103,44.57067,729.7,2874.0327,4522.4004
France,1999,51.49402,58.06549,45.435658,878.2999,2867.3428,4449.1904
France,2000,51.879852,58.63071,45.7794,794.5,2933.0105,4546.21
France,2001,50.817986,57.35758,44.763493,782.0,2889.0369,4476.52
France,2002,52.163677,58.802757,46.15467,724.2,2837.679,4460.7705
France,2003,53.030956,60.58697,45.97073,696.19995,3180.1616,4978.55
France,2004,50.868755,57.704395,44.598087,788.1,2949.1057,4701.3
France,2005,50.86118,57.81004,44.528996,698.0,3076.7817,4760.5303
France,2006,52.225418,59.11344,46.19535,800.0,3030.1418,4649.07
France,2007,51.179077,57.83494,45.13385,783.4,2919.8713,4504.67
France,2008,50.32583,57.041695,44.33202,939.9,2854.6633,4439.2705
France,2009,51.468216,58.49799,44.968887,722.7,3022.647,4732.25
France,2010,49.22034,55.7753,42.954124,862.7,2796.9702,4537.9
France,2011,53.238613,60.61804,46.524284,631.30005,3116.3528,4834.54
France,2012,51.259125,58.13178,44.89218,750.1,2958.0195,4646.09
France,2013,50.29864,56.867874,44.336174,894.10004,2754.9521,4424.1797
France,2014,52.890144,59.88201,46.639683,764.4,3018.179,4653.58
France,2015,53.1195,60.342617,46.509987,551.69995,3039.9678,4771.7
France,2016,51.893143,58.9419,45.530663,824.89996,2907.3577,4585.54
France,2017,51.714077,59.283375,45.021706,817.9,2711.4722,4593.3203
France,2018,53.27418,61.05083,46.03488,824.19995,2822.8762,4790.96
France,2019,52.93949,60.8834,45.63075,787.9,2909.6355,4892.67
France,2020,53.70755,61.4494,46.618587,826.60004,2882.09,4786.8604
Georgia,1995,50.073715,58.947163,42.168938,1488.8999,3142.3594,5071.92
Georgia,1996,51.25709,59.956776,43.742264,1220.9,3197.0017,5173.8604
Georgia,1997,49.343174,58.11792,41.72979,1375.3999,3052.3862,5053.11
Georgia,1998,52.094242,61.00976,44.244858,1206.7,3173.7627,5188.56
Georgia,1999,51.101788,60.48653,42.66801,1492.1001,3160.9414,5165.21
Georgia,2000,50.390747,59.670547,42.04407,1026.7,3189.8872,5256.8506
Georgia,2001,51.317245,60.76294,42.82828,1284.3999,3156.0698,5085.18
Georgia,2002,50.296585,59.48297,42.182503,1406.7,3152.0789,5116.3896
Georgia,2003,49.539005,58.056282,41.80919,1275.9,3130.2656,5111.41
Georgia,2004,50.147156,59.436447,41.69661,1398.5,3170.1016,5138.1504
Georgia,2005,51.511677,60.21357,44.03083,1426.7,3005.0688,4905.21
Georgia,2006,51.992893,61.10075,44.006912,1527.1001,3035.09,5021.39
Georgia,2007,51.14407,60.219734,43.18015,1496.9,3128.2344,5179.91
Georgia,2008,51.28596,60.44415,43.350296,1260.3999,3171.7622,5028.18
Georgia,2009,51.736687,60.531902,44.178284,1304.3,3173.2466,5111.54
Georgia,2010,55.399834,65.168015,46.83513,1189.9,3206.3535,5239.66
Georgia,2011,49.9329,57.987484,43.034668,1525.0,2949.91,4764.9697
Georgia,2012,52.227215,61.169804,44.296284,1114.5,3227.2727,5284.59
Georgia,2013,51.406555,60.321083,43.578613,1372.3,3150.2256,5024.13
Georgia,2014,53.675053,62.80335,45.90135,1246.3999,3277.15,5256.6797
Georgia,2015,53.84099,62.888668,46.201187,1105.3,3129.5818,5066.07
Georgia,2016,51.90248,60.6675,44.03464,1558.5,3110.331,5091.1396
Georgia,2017,54.108833,62.881813,46.629467,1351.3999,3107.594,5302.62
Georgia,2018,56.72805,65.15006,49.821205,1212.3,3079.8347,5253.4897
Georgia,2019,55.129333,63.962063,47.794113,1190.7,3125.3809,5310.61
Georgia,2020,55.089245,63.766644,47.997963,1189.2,3137.9824,5382.7803
